tick,simTime_s,altitude_km,terrainAltitude_km,speed_mps,mode,factoryProduced,rebases,soiSwitches,distToCinder_km
0,0.0000,1.2703,0.0000,0.0000,0,0,1,0,11455.1043
10,0.1667,1.2705,0.0002,2.5386,0,2,1,0,11455.1041
20,0.3333,1.2711,0.0008,5.0771,0,4,1,0,11455.1035
30,0.5000,1.2722,0.0019,7.6157,0,6,1,0,11455.1026
40,0.6667,1.2737,0.0034,10.1543,0,8,1,0,11455.1013
50,0.8333,1.2756,0.0053,12.6929,0,10,1,0,11455.0995
60,1.0000,1.2779,0.0076,15.2315,0,12,1,0,11455.0974
70,1.1667,1.2807,0.0104,17.7701,0,14,1,0,11455.0950
80,1.3333,1.2838,0.0135,20.3087,0,16,1,0,11455.0921
90,1.5000,1.2874,0.0171,22.8474,0,18,1,0,11455.0889
100,1.6667,1.2915,0.0212,25.3861,0,20,1,0,11455.0852
110,1.8333,1.2959,0.0256,27.9248,0,22,1,0,11455.0812
120,2.0000,1.3008,0.0305,30.4635,0,24,1,0,11455.0768
130,2.1667,1.3061,0.0358,33.0022,0,26,1,0,11455.0721
140,2.3333,1.3118,0.0415,35.5410,0,28,1,0,11455.0669
150,2.5000,1.3179,0.0476,38.0798,0,30,1,0,11455.0614
160,2.6667,1.3245,0.0542,40.6187,0,32,1,0,11455.0555
170,2.8333,1.3314,0.0611,43.1575,0,34,1,0,11455.0492
180,3.0000,1.3388,0.0685,45.6964,0,36,1,0,11455.0425
190,3.1667,1.3467,0.0764,48.2354,0,38,1,0,11455.0355
200,3.3333,1.3549,0.0846,50.7744,0,40,1,0,11455.0280
210,3.5000,1.3636,0.0933,53.3135,0,42,1,0,11455.0202
220,3.6667,1.3727,0.1024,55.8526,0,44,1,0,11455.0120
230,3.8333,1.3822,0.1119,58.3917,0,46,1,0,11455.0034
240,4.0000,1.3922,0.1219,60.9309,0,48,1,0,11454.9945
250,4.1667,1.4025,0.1322,63.4702,0,50,1,0,11454.9851
260,4.3333,1.4133,0.1430,66.0095,0,52,1,0,11454.9754
270,4.5000,1.4245,0.1542,68.5488,0,54,1,0,11454.9653
280,4.6667,1.4362,0.1659,71.0883,0,56,1,0,11454.9548
290,4.8333,1.4482,0.1779,73.6278,0,58,1,0,11454.9439
300,5.0000,1.4607,0.1904,76.1673,0,60,1,0,11454.9326
310,5.1667,1.4736,0.2033,78.7070,0,62,1,0,11454.9210
320,5.3333,1.4869,0.2166,81.2467,0,64,1,0,11454.9090
330,5.5000,1.5007,0.2304,83.7865,0,66,1,0,11454.8966
340,5.6667,1.5149,0.2446,86.3263,0,68,1,0,11454.8838
350,5.8333,1.5295,0.2592,88.8662,0,70,1,0,11454.8707
360,6.0000,1.5445,0.2742,91.4063,0,72,1,0,11454.8571
370,6.1667,1.5599,0.2896,93.9463,0,74,1,0,11454.8432
380,6.3333,1.5758,0.3055,96.4865,0,76,1,0,11454.8289
390,6.5000,1.5921,0.3218,99.0268,0,78,1,0,11454.8142
400,6.6667,1.6088,0.3385,101.5671,0,80,1,0,11454.7991
410,6.8333,1.6260,0.3557,104.1076,0,82,1,0,11454.7837
420,7.0000,1.6435,0.3732,106.6481,0,84,1,0,11454.7678
430,7.1667,1.6615,0.3912,109.1888,0,86,1,0,11454.7516
440,7.3333,1.6799,0.4096,111.7295,0,88,1,0,11454.7350
450,7.5000,1.6987,0.4284,114.2703,0,90,1,0,11454.7180
460,7.6667,1.7180,0.4477,116.8113,0,92,1,0,11454.7007
470,7.8333,1.7377,0.4674,119.3523,0,94,1,0,11454.6829
480,8.0000,1.7578,0.4875,121.8935,0,96,1,0,11454.6648
490,8.1667,1.7783,0.5080,124.4347,0,98,1,0,11454.6463
500,8.3333,1.7993,0.5290,126.9761,0,100,1,0,11454.6274
510,8.5000,1.8206,0.5503,129.5176,0,102,1,0,11454.6082
520,8.6667,1.8424,0.5721,132.0592,0,104,1,0,11454.5885
530,8.8333,1.8647,0.5944,134.6009,0,106,1,0,11454.5685
540,9.0000,1.8873,0.6170,137.1427,0,108,1,0,11454.5480
550,9.1667,1.9104,0.6401,139.6847,0,110,1,0,11454.5273
560,9.3333,1.9339,0.6636,142.2268,0,112,1,0,11454.5061
570,9.5000,1.9578,0.6875,144.7690,0,114,1,0,11454.4845
580,9.6667,1.9821,0.7118,147.3114,0,116,1,0,11454.4626
590,9.8333,2.0069,0.7366,149.8539,0,118,1,0,11454.4402
600,10.0000,2.0321,0.7618,152.3965,0,120,1,0,11454.4175
610,10.1667,2.0577,0.7874,154.9392,0,122,1,0,11454.3944
620,10.3333,2.0837,0.8134,157.4821,0,124,1,0,11454.3710
630,10.5000,2.1102,0.8399,160.0252,0,126,1,0,11454.3471
640,10.6667,2.1371,0.8668,162.5683,0,128,1,0,11454.3229
650,10.8333,2.1644,0.8941,165.1117,0,130,1,0,11454.2983
660,11.0000,2.1921,0.9218,167.6551,0,132,1,0,11454.2733
670,11.1667,2.2203,0.9500,170.1988,0,134,1,0,11454.2479
680,11.3333,2.2488,0.9785,172.7425,0,136,1,0,11454.2221
690,11.5000,2.2778,1.0075,175.2865,0,138,1,0,11454.1960
700,11.6667,2.3073,1.0370,177.8306,0,140,1,0,11454.1694
710,11.8333,2.3371,1.0668,180.3748,0,142,1,0,11454.1425
720,12.0000,2.3674,1.0971,182.9192,0,144,1,0,11454.1152
730,12.1667,2.3981,1.1278,185.4638,0,146,1,0,11454.0876
740,12.3333,2.4292,1.1589,188.0085,0,148,1,0,11454.0595
750,12.5000,2.4608,1.1905,190.5535,0,150,1,0,11454.0311
760,12.6667,2.4927,1.2224,193.0985,0,152,1,0,11454.0022
770,12.8333,2.5251,1.2548,195.6438,0,154,1,0,11453.9730
780,13.0000,2.5579,1.2876,198.1892,0,156,1,0,11453.9434
790,13.1667,2.5912,1.3209,200.7348,0,158,1,0,11453.9135
800,13.3333,2.6249,1.3546,203.2806,0,160,1,0,11453.8831
810,13.5000,2.6589,1.3886,205.8266,0,162,1,0,11453.8524
820,13.6667,2.6935,1.4232,208.3727,0,164,1,0,11453.8213
830,13.8333,2.7284,1.4581,210.9191,0,166,1,0,11453.7898
840,14.0000,2.7638,1.4935,213.4656,0,168,1,0,11453.7579
850,14.1667,2.7996,1.5293,216.0123,0,170,1,0,11453.7256
860,14.3333,2.8358,1.5655,218.5592,0,172,1,0,11453.6930
870,14.5000,2.8724,1.6021,221.1064,0,174,1,0,11453.6599
880,14.6667,2.9095,1.6392,223.6537,0,176,1,0,11453.6265
890,14.8333,2.9470,1.6767,226.2012,0,178,1,0,11453.5927
900,15.0000,2.9849,1.7146,228.7489,0,180,1,0,11453.5586
910,15.1667,3.0232,1.7529,231.2968,0,182,1,0,11453.5240
920,15.3333,3.0620,1.7917,233.8449,0,184,1,0,11453.4891
930,15.5000,3.1012,1.8309,236.3933,0,186,1,0,11453.4537
940,15.6667,3.1408,1.8705,238.9418,0,188,1,0,11453.4180
950,15.8333,3.1808,1.9105,241.4906,0,190,1,0,11453.3819
960,16.0000,3.2213,1.9510,244.0395,0,192,1,0,11453.3454
970,16.1667,3.2622,1.9919,246.5887,0,194,1,0,11453.3086
980,16.3333,3.3035,2.0332,249.1381,0,196,1,0,11453.2713
990,16.5000,3.3452,2.0749,251.6878,0,198,1,0,11453.2337
1000,16.6667,3.3874,2.1171,254.2376,0,200,1,0,11453.1957
